Form,Lemma,UPosTag,XPosTag,feature,Head,DepRel,Deps,Misc,Original_POS
Chikeno,chiká,VERB,_,Mood=Imp,_,_,_,_,_
Chimbo,_,ADJ,_,_,_,_,_,_,_
Ebbo,_,NOUN,_,_,_,_,_,_,_
Ekabatá,_,VERB,_,_,_,_,_,_,_
Eleeloo,_,INTJ,_,_,_,_,_,_,_
Firifoyo,_,ADJ,_,_,_,_,_,_,_
Floriá,_,VERB,_,_,_,_,_,_,_
Fofogén,_,NOUN,_,_,_,_,_,_,_
Fufurufa,_,NOUN,_,_,_,_,_,_,_
Fundío,_,NOUN,_,_,_,_,_,_,_
I a kumé,_,exp comp,_,_,_,_,_,_,_
I a pelé,_,exp comp,_,_,_,_,_,_,_
Ichao,ichá,ADJ,_,_,_,_,_,_,_
Ilesia,_,NOUN,_,_,_,_,_,_,_
Ilombo,_,NOUN,_,_,_,_,_,_,_
Ilongo,_,ADJ,_,_,_,_,_,_,_
Jende,_,VERB,_,_,_,_,_,_,_
Jende,_,NOUN,_,_,_,_,_,_,_
Jesuita,_,ADJ,_,_,_,_,_,_,_
Jiguereta,_,NOUN,_,_,_,_,_,_,_
Jipiá,_,VERB,_,_,_,_,_,_,_
Jirilo,jirí,VERB,_,_,_,_,_,_,_
Jirilo,jirí,ADJ,_,_,_,_,_,_,_
Joká,_,VERB,_,_,_,_,_,_,_
Kambasú,_,ADJ,_,_,_,_,_,_,_
Kampía,_,NOUN,_,_,_,_,_,_,_
Kanandonga,_,NOUN,_,_,_,_,_,_,_
Kandá,_,VERB,_,_,_,_,_,_,_
Kandeno,kandá,VERB,_,Mood=Imp,_,_,_,_,_
Kanduliá,_,VERB,_,_,_,_,_,_,_
Kankaman,_,ADJ,_,Gender=Masc,_,_,_,_,_
Kankamana,_,ADJ,_,Gender=Fem,_,_,_,_,_
Kapá,_,VERB,_,_,_,_,_,_,_
Konkulusú,_,NOUN,_,_,_,_,_,_,_
Kotá,_,VERB,_,_,_,_,_,_,_
Koto,_,NOUN,_,_,_,_,_,_,_
Kreo,_,NOUN,_,_,_,_,_,_,_
Krito,_,PROPN,_,_,_,_,_,_,_
Kuá,_,PRON,_,PronType=Int,_,_,_,_,_
Kuá,_,PRON,_,PronType=Rel,_,_,_,_,_
Kuagro,_,NOUN,_,_,_,_,_,_,_
Kuato,_,NOUN,_,_,_,_,_,_,_
Kubía,_,NOUN,_,_,_,_,_,_,_
Kuchío,_,NOUN,_,_,_,_,_,_,_
Kuepo,_,NOUN,_,_,_,_,_,_,_
Kujelo,kujé,VERB,_,_,_,_,_,_,_
Kukulungú,_,NOUN,_,_,_,_,_,_,_
Kulero,_,NOUN,_,_,_,_,_,_,_
Kumblá,_,VERB,_,_,_,_,_,_,_
Kumina,_,NOUN,_,_,_,_,_,_,_
Lomo,_,NOUN,_,_,_,_,_,_,_
Loyo,_,NOUN,_,_,_,_,_,_,_
Luna,_,NOUN,_,_,_,_,_,_,_
Luría,_,NOUN,_,_,_,_,_,_,_
Mbaso,_,NOUN,_,_,_,_,_,_,_
Mblasá,_,VERB,_,_,_,_,_,_,_
Mboíto,_,NOUN,_,_,_,_,_,_,_
Mbosío,_,NOUN,_,_,_,_,_,_,_
Mbulo,_,NOUN,_,_,_,_,_,_,_
Memo,_,ADJ,_,PronType=Dem,_,_,_,_,_
Miá,_,VERB,_,_,_,_,_,_,_
Mija,_,NOUN,_,Gender=Fem,_,_,_,_,_
Mijo,_,NOUN,_,Gender=Masc,_,_,_,_,_
Mina,_,NOUN,_,_,_,_,_,_,_
Mineno,Miní,VERB,_,Mood=Imp,_,_,_,_,_
Miniba,Miní,VERB,_,Tense=Imp,_,_,_,_,_
Ngangú,_,NOUN,_,_,_,_,_,_,_
Ngarabato,_,NOUN,_,_,_,_,_,_,_
Nglasia,_,INTJ,_,_,_,_,_,_,_
Ngola,_,ADJ,_,Gender=Fem,_,_,_,_,_
Ngombe,_,NOUN,_,_,_,_,_,_,_
Ngopiá,_,VERB,_,_,_,_,_,_,_
Ngotiá,_,VERB,_,_,_,_,_,_,_
Ngozá,_,VERB,_,_,_,_,_,_,_
Ngrío,_,NOUN,_,_,_,_,_,_,_
Nguenda,_,VERB,_,_,_,_,_,_,_
